food_name,calories,protein,carbs,fats,estimated_gi,glycemic_load,food_type,meal_type
Vegetable Lentil Soup,210.0,10.0,35.0,6.0,30.0,10.5,Veg,Breakfast
Paneer and Spinach Curry,300.0,18.0,25.0,18.0,0.0,0.0,Veg,Lunch/Dinner
Chicken and Quinoa Salad,350.0,30.0,25.0,15.0,0.0,0.0,Non-Veg,Breakfast
Grilled Vegetable Skewers,150.0,6.0,30.0,4.0,0.0,0.0,Veg,Breakfast
Grilled Fish with Roasted Veggies,250.0,25.0,20.0,12.0,0.0,0.0,Non-Veg,Unknown
Grilled Lamb with Veggies,350.0,30.0,20.0,18.0,0.0,0.0,Non-Veg,Unknown
Spicy Baked Fish,280.0,25.0,10.0,15.0,0.0,0.0,Non-Veg,Unknown
Tofu and Vegetable Stir Fry,220.0,15.0,25.0,10.0,15.0,3.75,Veg,Breakfast
Masoor Dal with Rice,300.0,15.0,45.0,6.0,10.0,4.5,Veg,Breakfast
Chicken Breast with Roasted Sweet Potato,350.0,30.0,40.0,12.0,0.0,0.0,Non-Veg,Breakfast
Grilled Veggie and Hummus Wrap,250.0,10.0,35.0,8.0,6.0,2.1,Veg,Unknown
Vegetable and Chicken Soup,220.0,18.0,25.0,8.0,0.0,0.0,Non-Veg,Breakfast
Grilled Paneer Tikka,290.0,25.0,15.0,18.0,0.0,0.0,Non-Veg,Lunch/Dinner
Spicy Lentil Stew,230.0,12.0,40.0,7.0,30.0,12.0,Veg,Unknown
Vegetable Frittata,240.0,20.0,15.0,14.0,0.0,0.0,Veg,Breakfast
Tofu and Mango Salad,270.0,12.0,35.0,14.0,51.0,17.85,Veg,Breakfast
Grilled Salmon with Avocado Salsa,340.0,28.0,12.0,20.0,15.0,1.8,Non-Veg,Breakfast
Quinoa and Roasted Vegetable Bowl,260.0,8.0,40.0,7.0,53.0,21.2,Veg,Breakfast
Roasted Chicken with Sweet Potato Mash,350.0,30.0,35.0,15.0,0.0,0.0,Non-Veg,Breakfast
Vegetable and Lentil Wrap,270.0,12.0,45.0,8.0,30.0,13.5,Veg,Breakfast
Stuffed Zucchini with Feta,220.0,12.0,20.0,12.0,15.0,3.0,Veg,Unknown
Baked Falafel with Tahini Sauce,280.0,12.0,35.0,10.0,30.0,10.5,Veg,Unknown
Grilled Fish with Couscous,300.0,25.0,35.0,10.0,60.0,21.0,Non-Veg,Unknown
Grilled Eggplant with Pesto,220.0,8.0,18.0,14.0,15.0,2.7,Veg,Unknown
Grilled Chicken with Veggie Quinoa,330.0,25.0,40.0,15.0,0.0,0.0,Non-Veg,Unknown
Masala Chana with Brown Rice,320.0,15.0,50.0,8.0,50.0,25.0,Veg,Breakfast
Spicy Roasted Chickpeas,200.0,10.0,30.0,8.0,28.0,8.4,Veg,Unknown
Grilled Paneer with Spinach,290.0,22.0,12.0,18.0,0.0,0.0,Veg,Unknown
Beef Stir Fry with Veggies,350.0,30.0,20.0,15.0,70.0,14.0,Non-Veg,Unknown
Grilled Zucchini with Yogurt Sauce,170.0,6.0,15.0,10.0,32.0,4.8,Veg,Unknown
Tofu and Cauliflower Stir Fry,230.0,18.0,18.0,12.0,15.0,2.7,Veg,Lunch/Dinner
Grilled Chicken with Sweet Potato,320.0,30.0,35.0,14.0,0.0,0.0,Non-Veg,Breakfast
Vegetable Stir Fry with Tofu,250.0,15.0,30.0,12.0,15.0,4.5,Veg,Breakfast
Grilled Turkey with Veggies,330.0,30.0,25.0,12.0,0.0,0.0,Non-Veg,Unknown
Chickpea and Vegetable Curry,280.0,12.0,45.0,8.0,0.0,0.0,Veg,Breakfast
Chickpea and Spinach Soup,250.0,12.0,40.0,6.0,15.0,6.0,Veg,Breakfast
Grilled Paneer with Vegetable Quinoa,300.0,18.0,35.0,14.0,0.0,0.0,Veg,Breakfast
Chicken Tikka with Cauliflower Rice,350.0,30.0,20.0,18.0,15.0,3.0,Non-Veg,Breakfast
Vegetable and Quinoa Stuffed Peppers,240.0,12.0,45.0,6.0,53.0,23.85,Veg,Breakfast
Grilled Fish with Avocado Salad,320.0,30.0,15.0,18.0,15.0,2.25,Non-Veg,Breakfast
Roasted Chicken with Roasted Vegetables,360.0,35.0,30.0,20.0,0.0,0.0,Non-Veg,Breakfast
Lentil and Avocado Salad,290.0,14.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Chicken and Vegetable Skewers,310.0,28.0,30.0,12.0,0.0,0.0,Non-Veg,Breakfast
Vegetable and Tofu Stir Fry,240.0,15.0,35.0,9.0,15.0,5.25,Veg,Breakfast
Chana Masala with Rice,350.0,15.0,50.0,8.0,42.0,21.0,Veg,Breakfast
Grilled Chicken with Roasted Sweet Potato,320.0,30.0,35.0,12.0,0.0,0.0,Non-Veg,Breakfast
Grilled Fish with Veggie Couscous,320.0,25.0,40.0,12.0,60.0,24.0,Non-Veg,Unknown
Vegetable and Hummus Wrap,220.0,10.0,30.0,8.0,6.0,1.8,Veg,Breakfast
Grilled Lamb with Quinoa,380.0,30.0,30.0,22.0,0.0,0.0,Non-Veg,Unknown
Paneer and Vegetable Curry,300.0,18.0,20.0,18.0,0.0,0.0,Veg,Breakfast
Vegetable and Brown Rice Stir Fry,270.0,12.0,45.0,6.0,50.0,22.5,Veg,Breakfast
Chicken and Cauliflower Rice Bowl,330.0,30.0,25.0,15.0,15.0,3.75,Non-Veg,Breakfast
Vegetable Lentil Soup with Quinoa,290.0,15.0,45.0,8.0,30.0,13.5,Veg,Breakfast
Grilled Tofu with Avocado Salad,280.0,14.0,35.0,14.0,15.0,5.25,Veg,Breakfast
Beef and Veggie Stir Fry,350.0,30.0,30.0,15.0,56.0,16.8,Non-Veg,Lunch/Dinner
Lentil and Spinach Curry,230.0,15.0,40.0,5.0,15.0,6.0,Veg,Lunch/Dinner
Vegetable and Paneer Wrap,290.0,18.0,35.0,14.0,0.0,0.0,Veg,Breakfast
Chicken and Spinach Salad,310.0,28.0,15.0,18.0,0.0,0.0,Non-Veg,Breakfast
Grilled Salmon with Roasted Sweet Potato,350.0,28.0,30.0,18.0,0.0,0.0,Non-Veg,Breakfast
Spicy Grilled Chicken Salad,330.0,30.0,20.0,15.0,0.0,0.0,Non-Veg,Breakfast
Lentil and Vegetable Stew,250.0,12.0,45.0,6.0,30.0,13.5,Veg,Breakfast
Chicken and Mushroom Stir Fry,320.0,28.0,30.0,14.0,0.0,0.0,Non-Veg,Breakfast
Vegetable and Paneer Stir Fry,270.0,18.0,30.0,12.0,0.0,0.0,Veg,Breakfast
Tofu and Broccoli Stir Fry,240.0,18.0,25.0,12.0,15.0,3.75,Veg,Lunch/Dinner
Spicy Grilled Fish with Vegetables,320.0,28.0,25.0,15.0,0.0,0.0,Non-Veg,Breakfast
Quinoa and Vegetable Patties,270.0,12.0,45.0,8.0,53.0,23.85,Veg,Breakfast
Grilled Chicken with Roasted Cauliflower,310.0,30.0,25.0,14.0,15.0,3.75,Non-Veg,Unknown
Grilled Chicken with Sweet Potatoes,400.0,35.0,35.0,15.0,0.0,0.0,Non-Veg,Breakfast
Tofu and Spinach Stir Fry,270.0,18.0,25.0,10.0,15.0,3.75,Veg,Lunch/Dinner
Paneer and Vegetable Tikka,320.0,20.0,35.0,15.0,0.0,0.0,Non-Veg,Breakfast
Masala Chicken with Rice,420.0,38.0,45.0,18.0,0.0,0.0,Non-Veg,Breakfast
Grilled Fish with Mixed Vegetables,350.0,30.0,30.0,12.0,0.0,0.0,Non-Veg,Breakfast
Vegetable Biryani with Yogurt,300.0,12.0,50.0,8.0,48.0,24.0,Veg,Breakfast
Grilled Salmon with Veggies,450.0,40.0,35.0,18.0,0.0,0.0,Non-Veg,Unknown
Chickpea and Tofu Salad,350.0,25.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Chicken and Brown Rice Bowl,400.0,35.0,40.0,14.0,50.0,20.0,Non-Veg,Breakfast
Grilled Paneer with Vegetables,380.0,25.0,35.0,20.0,0.0,0.0,Veg,Breakfast
Spicy Grilled Fish with Quinoa,420.0,35.0,40.0,18.0,53.0,21.2,Non-Veg,Unknown
Chickpea and Avocado Salad,300.0,18.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Spinach and Lentil Soup,220.0,15.0,35.0,5.0,30.0,10.5,Veg,Unknown
Tomato and Cucumber Salad,150.0,8.0,25.0,4.0,15.0,3.75,Veg,Breakfast
Grilled Fish with Roasted Vegetables,300.0,28.0,20.0,12.0,0.0,0.0,Non-Veg,Breakfast
Grilled Chicken with Asparagus,350.0,30.0,15.0,14.0,15.0,2.25,Non-Veg,Breakfast
Chickpea and Spinach Curry,240.0,18.0,40.0,6.0,15.0,6.0,Veg,Breakfast
Roasted Vegetables with Tofu,270.0,15.0,35.0,10.0,15.0,5.25,Veg,Breakfast
Vegetable Salad with Lemon Dressing,200.0,10.0,30.0,6.0,15.0,4.5,Veg,Breakfast
Lentil Salad with Roasted Vegetables,320.0,20.0,45.0,12.0,15.0,6.75,Veg,Breakfast
Spicy Paneer and Veggies,310.0,25.0,40.0,18.0,0.0,0.0,Veg,Unknown
Masala Grilled Fish with Vegetables,380.0,35.0,35.0,15.0,20.0,7.0,Non-Veg,Breakfast
Vegetable and Chickpea Soup,240.0,20.0,35.0,8.0,60.0,21.0,Veg,Breakfast
Tofu with Brown Rice and Veggies,320.0,20.0,45.0,12.0,50.0,22.5,Veg,Unknown
Quinoa Salad with Roasted Veggies,330.0,18.0,50.0,12.0,53.0,26.5,Veg,Breakfast
Chicken and Vegetable Stir Fry,400.0,35.0,35.0,16.0,0.0,0.0,Non-Veg,Breakfast
Vegetable and Chicken Stew,350.0,30.0,40.0,15.0,0.0,0.0,Non-Veg,Breakfast
Grilled Vegetables with Tofu,320.0,25.0,35.0,14.0,15.0,5.25,Veg,Breakfast
Spicy Vegetable Biryani,350.0,18.0,45.0,12.0,48.0,21.6,Veg,Breakfast
Vegetable Stew with Coconut Milk,280.0,18.0,40.0,12.0,45.0,18.0,Veg,Breakfast
Roasted Cauliflower with Chickpeas,300.0,15.0,40.0,15.0,15.0,6.0,Veg,Lunch/Dinner
Avocado and Chickpea Salad,320.0,20.0,35.0,14.0,15.0,5.25,Veg,Breakfast
Quinoa Salad with Grilled Tofu,330.0,18.0,45.0,12.0,53.0,23.85,Veg,Breakfast
Spicy Lentil Soup,240.0,15.0,35.0,8.0,30.0,10.5,Veg,Unknown
Vegetable and Lentil Curry,270.0,20.0,40.0,8.0,0.0,0.0,Veg,Breakfast
Chickpea and Spinach Stew,290.0,18.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Vegetable and Chickpea Biryani,360.0,20.0,50.0,12.0,50.0,25.0,Veg,Breakfast
Tomato and Lentil Soup,240.0,18.0,35.0,6.0,30.0,10.5,Veg,Unknown
Grilled Paneer with Mixed Vegetables,340.0,25.0,35.0,18.0,0.0,0.0,Veg,Breakfast
Chickpea and Spinach Salad,320.0,20.0,40.0,14.0,15.0,6.0,Veg,Breakfast
Vegetable and Tofu Soup,250.0,18.0,35.0,10.0,15.0,5.25,Veg,Breakfast
Grilled Tofu with Brown Rice,330.0,18.0,45.0,12.0,50.0,22.5,Veg,Unknown
Chickpea and Vegetable Stir Fry,310.0,20.0,40.0,12.0,35.0,14.0,Veg,Breakfast
Vegetable and Lentil Stew,270.0,18.0,40.0,8.0,30.0,12.0,Veg,Breakfast
Spicy Tofu with Vegetables,320.0,18.0,40.0,14.0,15.0,6.0,Veg,Breakfast
Grilled Chicken with Vegetables,350.0,35.0,30.0,18.0,0.0,0.0,Non-Veg,Breakfast
Vegetable Curry with Brown Rice,290.0,15.0,45.0,12.0,50.0,22.5,Veg,Breakfast
Chickpea and Cauliflower Soup,270.0,15.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Chickpea and Tomato Curry,290.0,18.0,40.0,10.0,26.5,10.6,Veg,Breakfast
Grilled Tofu with Vegetables,320.0,20.0,40.0,14.0,15.0,6.0,Veg,Breakfast
Vegetable Soup with Brown Rice,270.0,18.0,40.0,8.0,50.0,20.0,Veg,Breakfast
Vegetable and Paneer Curry,320.0,25.0,40.0,18.0,0.0,0.0,Veg,Breakfast
Spinach and Tofu Salad,280.0,18.0,35.0,12.0,15.0,5.25,Veg,Breakfast
Grilled Fish with Salad,380.0,35.0,30.0,15.0,70.0,21.0,Non-Veg,Breakfast
Chickpea and Kale Soup,270.0,18.0,35.0,8.0,15.0,5.25,Veg,Breakfast
Avocado and Quinoa Salad,350.0,18.0,45.0,14.0,15.0,6.75,Veg,Breakfast
Grilled Tofu with Mixed Vegetables,300.0,20.0,35.0,12.0,0.0,0.0,Veg,Breakfast
Vegetable Stew with Tofu,280.0,15.0,40.0,10.0,15.0,6.0,Veg,Breakfast
Baingan Bharta,72 kcal,1.6g,,1.4g,20.0,,Veg,Breakfast
Chapati (Roti),297 kcal,7.7g,,2.2g,62.0,,Veg,Breakfast
Rice (Cooked),130 kcal,2.7g,,0.2g,73.0,,Veg,Unknown
Paratha (Plain),297 kcal,8.1g,,14.2g,38.0,,Veg,Breakfast
Puri,315 kcal,4.3g,,16.4g,85.0,,Non-Veg,Breakfast
Samosa (Homemade),262 kcal,6.1g,,11.1g,85.0,,Veg,Breakfast
Rajma Chawal (with rice),162 kcal,6.6g,,0.5g,27.0,,Veg,Lunch/Dinner
Biryani (with chicken),200 kcal,13.3g,,4.6g,0.0,,Non-Veg,Lunch/Dinner
Pulao (with vegetables),132 kcal,2.7g,,1.7g,65.0,,Veg,Lunch/Dinner
Mutton Curry,260 kcal,17.5g,,17.8g,0.0,,Non-Veg,Lunch/Dinner
Chole Bhature (with chole),297 kcal,5.7g,,7.8g,50.0,,Veg,Breakfast
Gulab Jamun (2 pieces),305 kcal,2.8g,,6.4g,67.5,,Veg,Breakfast
Jalebi (1 piece),150 kcal,1g,,0.5g,51.0,,Veg,Breakfast
Kheer,108 kcal,3.6g,,2.1g,65.0,,Veg,Breakfast
Saffron Rice,134 kcal,2.2g,,0.2g,73.0,,Veg,Unknown
Punjabi Lassi,81 kcal,3.8g,,3.7g,25.0,,Veg,Breakfast
Pani Puri (6 puris),150 kcal,3g,,7g,85.0,,Veg,Breakfast
Dahi Vada (2 vadas),115 kcal,5g,,3.5g,67.5,,Veg,Breakfast
Batata Vada (1 vada),183 kcal,3.3g,,10.5g,67.5,,Veg,Unknown
Chakli (4 pieces),240 kcal,3.5g,,15g,73.0,,Veg,Unknown
Sambhar (with vegetables),49 kcal,1.5g,,1.1g,20.0,,Veg,Lunch/Dinner
Medu Vada (1 vada),201 kcal,2.7g,,4.8g,70.0,,Veg,Unknown
Aloo Matar,113 kcal,2.7g,,2.1g,48.0,,Veg,Breakfast
Malai Kulfi,207 kcal,4.4g,,10.1g,55.0,,Veg,Breakfast
Rasgulla (2 pieces),186 kcal,2.3g,,0.2g,75.5,,Veg,Breakfast
Aloo Chaat,180 kcal,4.5g,,1.7g,70.0,,Veg,Breakfast
Rasmalai (2 pieces),331 kcal,5.2g,,21.3g,25.0,,Veg,Lunch/Dinner
Mango Lassi,82 kcal,2.1g,,0.5g,41.0,,Veg,Breakfast
Puri Bhaji (with bhaji),238 kcal,4.6g,,6.7g,85.0,,Veg,Breakfast
Makki Ki Roti,153 kcal,3.6g,,1.3g,55.0,,Veg,Breakfast
Lauki Ki Sabzi,17 kcal,0.9g,,0.1g,0.0,,Veg,Lunch/Dinner
Pav Bhaji (with buttered pav),322 kcal,4.2g,,9.7g,0.0,,Veg,Breakfast
Kalaadi,300 kcal,18g,,25g,15.0,,Veg,Unknown
Aloo Chana Chaat,122 kcal,5.6g,,2.3g,62.5,,Veg,Breakfast
Chutney (Coconut),202 kcal,1.5g,,18.2g,45.0,,Veg,Unknown
Chutney (Mint),52 kcal,0.8g,,0.1g,55.0,,Veg,Unknown
Kheema Pav,251 kcal,15.5g,,10.2g,65.0,,Veg,Breakfast
Rice Kheer,143 kcal,3.8g,,3.3g,65.0,,Veg,Breakfast
Veg Manchurian,148 kcal,1.9g,,7.4g,60.0,,Non-Veg,Breakfast
Spring Rolls (2 rolls),260 kcal,5g,,15g,85.0,,Veg,Unknown
Matar Poha,110 kcal,1.9g,,1.7g,20.0,,Veg,Breakfast
Pav Bhaji Pizza,250 kcal,10g,,12g,65.0,,Veg,Breakfast
Cucumber Raita,48 kcal,2.1g,,2.5g,15.0,,Veg,Unknown
Chicken Seekh Kebab (2 kebabs),200 kcal,12.6g,,14.2g,0.0,,Non-Veg,Breakfast
Fish Curry,148 kcal,20.5g,,4.9g,0.0,,Non-Veg,Lunch/Dinner
Schezwan Noodles,140 kcal,2.3g,,2.7g,59.0,,Veg,Unknown
Ragda Patties,290 kcal,6g,,10g,10.0,,Veg,Breakfast
Bhelpuri,206 kcal,3.6g,,3.2g,85.0,,Veg,Breakfast
Mango Pickle,150 kcal,0.9g,,0.8g,40.0,,Veg,Unknown
Aloo Samosa (1 samosa),126 kcal,2.3g,,7.2g,85.0,,Veg,Breakfast
Coconut Ladoo (2 ladoos),136 kcal,1.4g,,8.1g,45.0,,Veg,Breakfast
Bread Pakora,337 kcal,9.6g,,15.5g,75.0,,Veg,Breakfast
Pumpkin Halwa,99 kcal,0.9g,,2.1g,65.0,,Veg,Breakfast
Aloo Paratha (with butter),268 kcal,5.3g,,10.6g,70.0,,Veg,Breakfast
Kadai Paneer,194 kcal,9.5g,,14.8g,10.0,,Veg,Breakfast
Gobi Manchurian,323 kcal,3.7g,,21.1g,60.0,,Non-Veg,Breakfast
Mango Shake,132 kcal,1.2g,,0.2g,51.0,,Veg,Unknown
Aloo Chole,98 kcal,4.2g,,2.1g,10.0,,Veg,Breakfast
Chilli Paneer,268 kcal,10.1g,,19.9g,15.0,,Non-Veg,Breakfast
Malpua (2 pieces),168 kcal,2.4g,,7.5g,73.0,,Veg,Unknown
Kaju Katli (2 pieces),353 kcal,4.5g,,18g,15.0,,Veg,Unknown
Masala Dosa (with potato filling),160 kcal,2.6g,,4.2g,20.0,,Veg,Breakfast
Butter Chicken (with sauce),257 kcal,18.7g,,16.6g,0.0,,Non-Veg,Lunch/Dinner
Idli (with chutney and sambar),62 kcal,1.2g,,0.2g,85.0,,Veg,Breakfast
Chole Bhature (1 Bhature and Chole),450 kcal,12g,,14g,50.0,,Veg,Breakfast
Dosa (plain),133 kcal,4.3g,,0.4g,50.0,,Veg,Breakfast
Aloo Posto,150,5,20.0,10.0,10.0,2.0,Veg,Breakfast
Bhetki Paturi,250,20,8.0,15.0,85.0,6.8,Non-Veg,Breakfast
Murgi Korma,400,25,12.0,30.0,85.0,10.2,Non-Veg,Breakfast
Mishti Doi,180,8,24.0,5.0,31.0,7.44,Veg,Unknown
Bangalir Bhorta,200,10,25.0,7.0,20.0,5.0,Veg,Breakfast
Luchi Aloo,300,6,40.0,15.0,10.0,4.0,Veg,Breakfast
Aloo Dum,200,6,30.0,8.0,70.0,21.0,Veg,Breakfast
Rasgulla,250,20,30.0,8.0,75.5,22.65,Veg,Breakfast
Sandesh,150,8,20.0,4.0,75.0,15.0,Veg,Breakfast
Mutton Rezala,400,25,10.0,35.0,0.0,0.0,Non-Veg,Breakfast
Jhalmuri,200,4,30.0,10.0,85.0,25.5,Veg,Breakfast
Paturi,270,22,12.0,20.0,85.0,10.2,Non-Veg,Breakfast
Paatishapta,200,12,25.0,6.0,57.0,14.25,Veg,Breakfast
Shingara,240,6,30.0,12.0,55.0,16.5,Veg,Unknown
Ghoogni,180,7,25.0,5.0,15.0,3.75,Veg,Unknown
Kacha Mango Chutney,100,1,15.0,1.0,55.0,8.25,Veg,Breakfast
Tandoori Murg,300,25,8.0,20.0,0.0,0.0,Non-Veg,Breakfast
Kacha Aam er Chatni,120,0,20.0,0.0,62.0,12.4,Veg,Breakfast
Paturi Bhetki,280,18,10.0,20.0,85.0,8.5,Non-Veg,Breakfast
Sukto,170,4,25.0,6.0,15.0,3.75,Veg,Unknown
Vegetable Chop,250,7,30.0,12.0,40.0,12.0,Veg,Breakfast
Murgir Korma,350,22,12.0,28.0,85.0,10.2,Non-Veg,Breakfast
Kolkata Kachori,220,8,30.0,12.0,90.0,27.0,Veg,Breakfast
Aloo Bharta,180,5,25.0,6.0,70.0,17.5,Veg,Breakfast
Mughlai Paratha,300,8,40.0,15.0,35.0,14.0,Veg,Breakfast
Aloo Keema,350,15,30.0,20.0,10.0,3.0,Non-Veg,Breakfast
Bhatt Ki Churkani,300,12,40.0,10.0,45.0,18.0,Veg,Breakfast
Chainsoo,250,14,35.0,8.0,20.0,7.0,Veg,Unknown
Kumaoni Raita,150,6,15.0,8.0,30.0,4.5,Veg,Unknown
Fruits and Nut Kheer,400,25,50.0,18.0,65.0,32.5,Veg,Breakfast
Gahat Ki Dal,300,20,40.0,12.0,10.0,4.0,Veg,Breakfast
Kandalee Saag,200,8,25.0,5.0,10.0,2.5,Veg,Breakfast
Singori,250,10,30.0,12.0,15.0,4.5,Veg,Breakfast
Raita,180,5,20.0,10.0,30.0,6.0,Veg,Lunch/Dinner
Chawal Ki Roti,280,6,45.0,8.0,27.0,12.15,Veg,Breakfast
Phaanu,300,15,40.0,10.0,15.0,6.0,Veg,Breakfast
Kumaoni Bhatt,320,10,45.0,12.0,45.0,20.25,Veg,Unknown
Kachma,350,18,30.0,20.0,90.0,27.0,Veg,Breakfast
Kumaoni Saag,180,7,20.0,5.0,45.0,9.0,Veg,Breakfast
Ghar Ka Achaar,100,6,10.0,4.0,62.0,6.2,Veg,Unknown
Kundru,200,6,25.0,8.0,60.0,15.0,Veg,Unknown
Pindale,220,10,30.0,8.0,10.0,3.0,Veg,Lunch/Dinner
Pahadi Daal,250,12,35.0,10.0,10.0,3.5,Veg,Breakfast
Kandali Saag,190,7,20.0,5.0,10.0,2.0,Veg,Breakfast
Garhwal Keema,400,20,30.0,25.0,58.0,17.4,Non-Veg,Unknown
Jhangora Ki Kheer,350,20,50.0,15.0,65.0,32.5,Veg,Breakfast
Aloo Tamatar,250,10,30.0,8.0,48.0,14.4,Veg,Breakfast
Chana Madra,300,12,40.0,10.0,42.0,16.8,Veg,Unknown
Raita Pulao,350,20,50.0,15.0,65.0,32.5,Veg,Lunch/Dinner
Bedu Roti,280,8,45.0,8.0,70.0,31.5,Veg,Breakfast
Kumaoni Baadi,250,10,35.0,12.0,45.0,15.75,Veg,Unknown
Garhwal Meat Curry,400,18,30.0,25.0,0.0,0.0,Non-Veg,Lunch/Dinner
Ragi Porridge,200,5,30.0,6.0,70.0,21.0,Veg,Unknown
Aloo Ghatta,270,12,35.0,10.0,10.0,3.5,Veg,Breakfast
Pahadi Samosa,250,10,30.0,12.0,85.0,25.5,Veg,Breakfast
Kumaoni Pulao,350,20,50.0,15.0,65.0,32.5,Veg,Lunch/Dinner
Gahat Ki Khichdi,300,15,40.0,10.0,0.0,0.0,Veg,Breakfast
Jhangora Pulao,320,18,45.0,12.0,65.0,29.25,Veg,Lunch/Dinner
Garhwal Saag,200,8,25.0,6.0,58.0,14.5,Veg,Breakfast
Bhatt Ki Dal,280,10,40.0,12.0,10.0,4.0,Veg,Breakfast
Aloo Tamatar Curry,250,12,30.0,8.0,62.5,18.75,Veg,Breakfast
Chaaula,250,12,35.0,10.0,27.0,9.45,Veg,Lunch/Dinner
Pindi Chana,300,15,40.0,12.0,65.0,26.0,Veg,Unknown
Daal Bhat,350,20,50.0,15.0,10.0,5.0,Veg,Breakfast
Sooji Halwa,400,25,50.0,20.0,77.5,38.75,Veg,Breakfast
Kumaoni Chutney,100,6,10.0,4.0,55.0,5.5,Veg,Breakfast
Jhangora Kheer,350,20,50.0,15.0,65.0,32.5,Veg,Breakfast
Pahadi Rajma,300,10,45.0,12.0,65.0,29.25,Veg,Breakfast
Bedu Ki Roti,280,6,45.0,8.0,0.0,0.0,Veg,Breakfast
Puri Aloo,400,8,50.0,18.0,85.0,42.5,Veg,Breakfast
Kofta Curry,400,12,30.0,25.0,0.0,0.0,Veg,Lunch/Dinner
Rogan Josh,500,35,15.0,30.0,0.0,0.0,Non-Veg,Lunch/Dinner
Mathri,450,10,60.0,22.0,20.0,12.0,Veg,Breakfast
Baida Roti,500,20,55.0,25.0,5.0,2.75,Veg,Breakfast
Petha,200,5,50.0,0.0,70.0,35.0,Veg,Breakfast
Mutton Korma,600,35,10.0,40.0,50.0,5.0,Non-Veg,Lunch/Dinner
Tikki Chaat,350,10,45.0,15.0,62.0,27.9,Veg,Breakfast
Kachori Sabzi,500,15,60.0,20.0,90.0,54.0,Veg,Breakfast
Chicken Kebab,400,30,5.0,25.0,0.0,0.0,Non-Veg,Breakfast
Rasam,150,2,15.0,5.0,25.0,3.75,Veg,Breakfast
Kofta Biryani,550,15,50.0,25.0,0.0,0.0,Veg,Lunch/Dinner
Murg Malai Tikka,450,25,10.0,30.0,85.0,8.5,Non-Veg,Lunch/Dinner
Dahi Bhalla,350,12,50.0,15.0,10.0,5.0,Veg,Breakfast
Samosa Chaat,400,10,55.0,20.0,85.0,46.75,Veg,Breakfast
Bundi Raita,200,6,12.0,8.0,30.0,3.6,Veg,Breakfast
Kachori Aloo,500,10,60.0,22.0,90.0,54.0,Veg,Breakfast
Bhindi Do Pyaza,200,5,20.0,10.0,85.0,17.0,Veg,Breakfast
Litti Chokha,450,12,60.0,15.0,85.0,51.0,Non-Veg,Breakfast
Tandoori Paneer,300,15,12.0,20.0,0.0,0.0,Veg,Breakfast
Mutton Nihari,600,40,15.0,35.0,50.0,7.5,Non-Veg,Breakfast
Samosa Pav,500,10,60.0,20.0,65.0,39.0,Veg,Breakfast
Chole Pulao,400,15,60.0,12.0,65.0,39.0,Veg,Breakfast
Bhindi Fry,200,5,25.0,10.0,17.5,4.375,Veg,Breakfast
Rawa Kesari,350,15,60.0,12.0,38.0,22.8,Veg,Breakfast
Mutton Pulao,500,25,60.0,20.0,65.0,39.0,Non-Veg,Lunch/Dinner
Methi Malai Chicken,450,30,15.0,25.0,0.0,0.0,Non-Veg,Breakfast
Vegetable Cutlet,300,8,35.0,12.0,65.0,22.75,Veg,Breakfast
Palak Chole,350,15,35.0,10.0,65.0,22.75,Veg,Breakfast
Kachori Chaat,450,12,60.0,22.0,90.0,54.0,Veg,Breakfast
Methi Chicken,400,25,15.0,30.0,0.0,0.0,Non-Veg,Breakfast
Paneer Burji,350,25,15.0,20.0,0.0,0.0,Veg,Breakfast
Chicken Saag,500,30,10.0,35.0,0.0,0.0,Non-Veg,Breakfast
Mutton Tikka,500,35,12.0,30.0,0.0,0.0,Non-Veg,Lunch/Dinner
Bhindi Raita,200,6,15.0,8.0,30.0,4.5,Veg,Breakfast
Kashmiri Dum Aloo,400,8,40.0,15.0,62.5,25.0,Veg,Lunch/Dinner
Vegetable Idli,250,6,30.0,5.0,85.0,25.5,Veg,Breakfast
Methi Malai Paneer,400,15,20.0,22.0,0.0,0.0,Veg,Breakfast
Rawa Upma,300,8,50.0,10.0,55.0,27.5,Veg,Breakfast
Palak Dal,300,12,40.0,10.0,10.0,4.0,Veg,Breakfast
Tandoori Naan,300,7,60.0,5.0,0.0,0.0,Veg,Breakfast
Aloo Palak,250,6,30.0,12.0,70.0,21.0,Veg,Breakfast
Dal Chawal,350,15,55.0,8.0,10.0,5.5,Veg,Breakfast
Vegetable Kofta,400,15,30.0,20.0,0.0,0.0,Veg,Breakfast
Mutton Shami Kebab,500,25,12.0,30.0,0.0,0.0,Non-Veg,Lunch/Dinner
Aloo Jeera,250,5,30.0,8.0,10.0,3.0,Veg,Breakfast
Mutton Tikka Masala,500,35,15.0,30.0,42.0,6.3,Non-Veg,Breakfast
Kachri,150,8,20.0,5.0,90.0,18.0,Non-Veg,Breakfast
Bamboo Shoot Curry,180,10,18.0,8.0,0.0,0.0,Non-Veg,Lunch/Dinner
Mangsor Ruti,220,18,25.0,12.0,51.0,12.75,Veg,Lunch/Dinner
